"시점","통계분류(1)","통계분류(2)",항목,데이터
"2021","연령","30대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),28.8
"2021","연령","30대",교통수단(항공 선박 철도 버스 등),8
"2021","연령","30대",차량대여/렌트,5
"2021","연령","30대",레저시설(놀이시설 스파 스키장 골프장 등),1.4
"2021","연령","30대",식당,0.5
"2021","연령","30대",관광명소(유적지 국립공원 등),0.6
"2021","연령","30대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.9
"2021","연령","30대",기타,0.1
"2021","연령","30대",사전 예약하지 않았음,67.3
"2021","연령","40대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),25.4
"2021","연령","40대",교통수단(항공 선박 철도 버스 등),6.7
"2021","연령","40대",차량대여/렌트,4.4
"2021","연령","40대",레저시설(놀이시설 스파 스키장 골프장 등),1.6
"2021","연령","40대",식당,1.1
"2021","연령","40대",관광명소(유적지 국립공원 등),0.6
"2021","연령","40대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.3
"2021","연령","40대",기타,0.1
"2021","연령","40대",사전 예약하지 않았음,70.8
"2021","연령","50대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),22.8
"2021","연령","50대",교통수단(항공 선박 철도 버스 등),6.3
"2021","연령","50대",차량대여/렌트,3.8
"2021","연령","50대",레저시설(놀이시설 스파 스키장 골프장 등),1.3
"2021","연령","50대",식당,1.6
"2021","연령","50대",관광명소(유적지 국립공원 등),0.5
"2021","연령","50대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.2
"2021","연령","50대",기타,0
"2021","연령","50대",사전 예약하지 않았음,72.8
"2021","연령","60대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),18.5
"2021","연령","60대",교통수단(항공 선박 철도 버스 등),5.4
"2021","연령","60대",차량대여/렌트,2.6
"2021","연령","60대",레저시설(놀이시설 스파 스키장 골프장 등),0.8
"2021","연령","60대",식당,1.4
"2021","연령","60대",관광명소(유적지 국립공원 등),0.5
"2021","연령","60대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.2
"2021","연령","60대",사전 예약하지 않았음,78.2
"2021","연령","70세 이상",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),11
"2021","연령","70세 이상",교통수단(항공 선박 철도 버스 등),4.4
"2021","연령","70세 이상",차량대여/렌트,0.9
"2021","연령","70세 이상",레저시설(놀이시설 스파 스키장 골프장 등),0.7
"2021","연령","70세 이상",식당,2
"2021","연령","70세 이상",관광명소(유적지 국립공원 등),0.5
