"통계분류(1)","통계분류(2)","시점",항목,데이터
"연령","70세 이상","2020",교통수단(항공 선박 철도 버스 등),1.6
"연령","70세 이상","2020",레저시설(놀이시설 스파 스키장 골프장 등),0.1
"연령","70세 이상","2020",식당,3.9
"연령","70세 이상","2020",관광명소(유적지 국립공원 등),0.8
"연령","70세 이상","2020",차량대여/렌트,0.5
"연령","70세 이상","2020",기타,0.4
"연령","70세 이상","2020",사전 예약하지 않았음,92.9
"연령","70세 이상","2021",교통수단(항공 선박 철도 버스 등),0.7
"연령","70세 이상","2021",레저시설(놀이시설 스파 스키장 골프장 등),0.7
"연령","70세 이상","2021",식당,2.3
"연령","70세 이상","2021",관광명소(유적지 국립공원 등),0.3
"연령","70세 이상","2021",차량대여/렌트,0.1
"연령","70세 이상","2021",기타,0.4
"연령","70세 이상","2021",사전 예약하지 않았음,95.7
"연령","70세 이상","2022",교통수단(항공 선박 철도 버스 등),1.6
"연령","70세 이상","2022",레저시설(놀이시설 스파 스키장 골프장 등),0.4
"연령","70세 이상","2022",식당,2.5
"연령","70세 이상","2022",관광명소(유적지 국립공원 등),1
"연령","70세 이상","2022",차량대여/렌트,1.3
"연령","70세 이상","2022",체험 프로그램(농어촌 체험 생태체험 학습 등),0.1
"연령","70세 이상","2022",사전 예약하지 않았음,93.9
